"node"	"def_XML"	"def_HTML"
"ls:fr:node:55085"	"<!-- $1, soleil de $2 -->

<definiens>
<df-semanteme>

	<assert>
	
		<cc id='cc'>
			<scc id='scc' dom='st.source'>
			<ap id='a1'>$1</ap>, <st id='st.source' sense='ls:fr:node:31443' sem='1'>source</st> de <st id='st.bienfait' sense='ls:fr:node:56944' sem='2'>bienfaits</st>
			pour <ap id='a2'>$2</ap>
			</scc> 
		</cc>

		<pc id='pc1' anchor='st.source' role='role' dom='st.important'>
		qui est très <st id='st.important' sense='ls:fr:node:27898' sem='2'>important</st> dans la <st id='st.vie' sense='ls:fr:node:30945' sem='2'>vie</st> de <ap coref='a2'>$2</ap>
		</pc>

		<pc id='pc2' anchor='st.source' role='metaphor' dom='st.soleil'>
		comme si <ap coref='a1'>$1</ap> était le <st id='st.soleil' sense='ls:fr:node:37921' sem='0'>soleil</st> qui apporte
		<st id='st.chaleur' sense='ls:fr:node:48593' sem='0'>chaleur</st> et <st id='st.lumière' sense='ls:fr:node:28181' sem='0'>lumière</st> à <ap coref='a2'>$2</ap>
		et comme si <ap coref='a2'>$2</ap> était la <st id='st.Terre' sense='ls:fr:node:31042' sem='0'>Terre</st> qui <st id='st.orbiter' sense='ls:fr:node:56915' sem='0'>orbite</st>
		autour de <ap coref='a1'>$1</ap>
		</pc>

	</assert>

</df-semanteme>
</definiens>"	"<!DOCTYPE html PUBLIC '-//W3C//DTD HTML 4.01 Transitional//EN' 'http://www.w3.org/TR/html4/loose.dtd'>
<html>
<head>
<meta http-equiv='Content-Type' content='text/html; charset=utf-8'>
<title>Définition</title>
</head>
<body>


	
	
		<p class='cc'>
			
			<span style='font-family:courier;font-size:13px;'>$1</span>, <a href='openSens/ls:fr:node:31443' style='text-decoration:none;'><span class='st'>source</span><span class='vocable_subscript'></span><span class='vocable_superscript'></span></a> de <a href='openSens/ls:fr:node:56944' style='text-decoration:none;'><span class='st'>bienfaits</span><span class='vocable_subscript'></span><span class='vocable_superscript'></span></a>
			pour <span style='font-family:courier;font-size:13px;'>$2</span>
			 
		</p>

		<p class='assert_pc'>
		qui est très <a href='openSens/ls:fr:node:27898' style='text-decoration:none;'><span class='st'>important</span><span class='vocable_subscript'></span><span class='vocable_superscript'></span></a> dans la <a href='openSens/ls:fr:node:30945' style='text-decoration:none;'><span class='st'>vie</span><span class='vocable_subscript'></span><span class='vocable_superscript'></span></a> de <span style='font-family:courier;font-size:13px;'>$2</span>
		</p>

		<p class='assert_pc'>
		comme si <span style='font-family:courier;font-size:13px;'>$1</span> était le <a href='openSens/ls:fr:node:37921' style='text-decoration:none;'><span class='st'>soleil</span><span class='vocable_subscript'></span><span class='vocable_superscript'></span></a> qui apporte
		<a href='openSens/ls:fr:node:48593' style='text-decoration:none;'><span class='st'>chaleur</span><span class='vocable_subscript'></span><span class='vocable_superscript'></span></a> et <a href='openSens/ls:fr:node:28181' style='text-decoration:none;'><span class='st'>lumière</span><span class='vocable_subscript'></span><span class='vocable_superscript'></span></a> à <span style='font-family:courier;font-size:13px;'>$2</span>
		et comme si <span style='font-family:courier;font-size:13px;'>$2</span> était la <a href='openSens/ls:fr:node:31042' style='text-decoration:none;'><span class='st'>Terre</span><span class='vocable_subscript'></span><span class='vocable_superscript'></span></a> qui <a href='openSens/ls:fr:node:56915' style='text-decoration:none;'><span class='st'>orbite</span><span class='vocable_subscript'></span><span class='vocable_superscript'></span></a>
		autour de <span style='font-family:courier;font-size:13px;'>$1</span>
		</p>

	


</body>
</html>
"
"ls:fr:node:55483"	"<!-- réaction [chimique] de $1 avec $2 qui donne $3 -->

<definiens>
	<df-semanteme>

		<actantpos>
		
			<tc id='tc1' anchor='scc' role='actant_type'><ap id='a1'>$1</ap> est une <at label='ls:fr:atlab:654' anchor='a1'>substance chimique</at></tc>

			<tc id='tc2' anchor='scc' role='actant_type'><ap id='a2'>$2</ap> est une <at label='ls:fr:atlab:654' anchor='a2'>substance chimique</at></tc>

		</actantpos>

		<assert>
		
			<cc id='cc'>
				<scc id='scc'>

				Les <st id='s1' sense='ls:fr:node:38988' sem='2' coref='a1'>substances</st> <ap coref='a1'>$1</ap> 
				subissent un <st id='s2' sense='ls:fr:node:56563' sem='2' actants='a1'>changement chimique</st>
				
				</scc>
			</cc>

			<pc id='pc1' anchor='scc' role='result' dom='s2'>
			
			avec pour <st id='s3' sense='ls:fr:node:26669' sem='0' actants='s1 s2'>résultat</st> la <st id='s4' sense='ls:fr:node:55659' sem='2' coref='a1 a2'>transformation</st> 
			de <ap coref='a1'>$1</ap> en une ou plusieurs <st id='s5' sense='ls:fr:node:38988' sem='2' coref='a2'>substances</st> <ap coref='a2'>$2</ap>
			
			</pc>

		
		</assert>
	</df-semanteme>
</definiens>
"	"<!DOCTYPE html PUBLIC '-//W3C//DTD HTML 4.01 Transitional//EN' 'http://www.w3.org/TR/html4/loose.dtd'>
<html>
<head>
<meta http-equiv='Content-Type' content='text/html; charset=utf-8'>
<title>Définition</title>
</head>
<body>
	

		
		
			<p class='actantpos_tc'><span style='background-color:#DCDCDC;'><span style='font-family:courier;font-size:13px;'>$1</span> est une <span style='font-family:courier;font-size:13px;'>substance chimique</span></span></p>

			<p class='actantpos_tc'><span style='background-color:#DCDCDC;'><span style='font-family:courier;font-size:13px;'>$2</span> est une <span style='font-family:courier;font-size:13px;'>substance chimique</span></span></p>

		

		
		
			<p class='cc'>
				

				Les <a href='openSens/ls:fr:node:38988' style='text-decoration:none;'><span class='st'>substances</span><span class='vocable_subscript'></span><span class='vocable_superscript'></span></a> <span style='font-family:courier;font-size:13px;'>$1</span> 
				subissent un <a href='openSens/ls:fr:node:56563' style='text-decoration:none;'><span class='st'>changement chimique</span><span class='vocable_subscript'></span><span class='vocable_superscript'></span></a>
				
				
			</p>

			<p class='assert_pc'>
			
			avec pour <a href='openSens/ls:fr:node:26669' style='text-decoration:none;'><span class='st'>résultat</span><span class='vocable_subscript'></span><span class='vocable_superscript'></span></a> la <a href='openSens/ls:fr:node:55659' style='text-decoration:none;'><span class='st'>transformation</span><span class='vocable_subscript'></span><span class='vocable_superscript'></span></a> 
			de <span style='font-family:courier;font-size:13px;'>$1</span> en une ou plusieurs <a href='openSens/ls:fr:node:38988' style='text-decoration:none;'><span class='st'>substances</span><span class='vocable_subscript'></span><span class='vocable_superscript'></span></a> <span style='font-family:courier;font-size:13px;'>$2</span>
			
			</p>

		
		
	
</body>
</html>
"
"ls:fr:node:55488"	"<!-- réaction [chimique] de $1 avec $2 qui donne $3 -->

<definiens>
	<df-semanteme>

		<actantpos>
		
			<tc id='tc1' anchor='scc' role='actant_type'><ap id='a1'>$1</ap> est une <at label='ls:fr:atlab:654' anchor='a1'>substance chimique</at></tc>

			<tc id='tc2' anchor='scc' role='actant_type'><ap id='a2'>$2</ap> est une <at label='ls:fr:atlab:654' anchor='a2'>substance chimique</at></tc>

		</actantpos>

		<assert>
		
			<cc id='cc'>
				<scc id='scc'>

				fait que les <st id='s1' sense='ls:fr:node:38988' sem='2' coref='a1'>substances</st> <ap coref='a1'>$1</ap> 
				<st id='s2' sense='ls:fr:node:55483' sem='2' actants='a1 a2'>réagissent</st>
				pour produire une ou plusieurs <st id='s3' sense='ls:fr:node:38988' sem='2' coref='a2'>substances</st> <ap coref='a2'>$2</ap>
				</scc>
			</cc>
			
		</assert>
	</df-semanteme>
</definiens>

"	"<!DOCTYPE html PUBLIC '-//W3C//DTD HTML 4.01 Transitional//EN' 'http://www.w3.org/TR/html4/loose.dtd'>
<html>
<head>
<meta http-equiv='Content-Type' content='text/html; charset=utf-8'>
<title>Définition</title>
</head>
<body>
	

		
		
			<p class='actantpos_tc'><span style='background-color:#DCDCDC;'><span style='font-family:courier;font-size:13px;'>$1</span> est une <span style='font-family:courier;font-size:13px;'>substance chimique</span></span></p>

			<p class='actantpos_tc'><span style='background-color:#DCDCDC;'><span style='font-family:courier;font-size:13px;'>$2</span> est une <span style='font-family:courier;font-size:13px;'>substance chimique</span></span></p>

		

		
		
			<p class='cc'>
				

				fait que les <a href='openSens/ls:fr:node:38988' style='text-decoration:none;'><span class='st'>substances</span><span class='vocable_subscript'></span><span class='vocable_superscript'></span></a> <span style='font-family:courier;font-size:13px;'>$1</span> 
				<a href='openSens/ls:fr:node:55483' style='text-decoration:none;'><span class='st'>réagissent</span><span class='vocable_subscript'></span><span class='vocable_superscript'></span></a>
				pour produire une ou plusieurs <a href='openSens/ls:fr:node:38988' style='text-decoration:none;'><span class='st'>substances</span><span class='vocable_subscript'></span><span class='vocable_superscript'></span></a> <span style='font-family:courier;font-size:13px;'>$2</span>
				
			</p>
			
		
	
</body>
</html>
"
"ls:fr:node:55490"	"<!-- $1 est un réactif -->

<definiens>
	<df-semanteme>

		<actantpos>
		
			<tc id='tc1' anchor='scc' role='actant_type'><ap id='a1'>$1</ap> est une <at label='ls:fr:atlab:654' anchor='a1'>substance chimique</at></tc>


		</actantpos>

		<assert>
		
			<cc id='cc'>
				<scc id='scc'>

				<ap coref='a1'>$1</ap> est une <st id='s2' sense='ls:fr:node:38988' sem='2'>substance</st> 
				 
				</scc>
			</cc>

			<pc id='pc1' anchor='scc' role='behavior'>
			qui <st id='s1' sense='ls:fr:node:55483' sem='2' actants='a1 aap1 aap2'>réagit</st> 
			avec une <st id='s3' sense='ls:fr:node:38988' sem='2' coref='aap1'>substance</st> <aap id='aap1'>Ω1</aap> 
			pour produire une <st id='s4' sense='ls:fr:node:38988' sem='2' coref='aap2'>substance</st> <aap id='aap2'>Ω2</aap>
			</pc>

			<pc id='pc2' anchor='pc1' role='result'>
			qui est consommée (partiellement) à la fin de cette <st id='s5' sense='ls:fr:node:55488' sem='2' coref='s1'>réaction</st>
			</pc>
			
		</assert>
	</df-semanteme>
</definiens>
"	"<!DOCTYPE html PUBLIC '-//W3C//DTD HTML 4.01 Transitional//EN' 'http://www.w3.org/TR/html4/loose.dtd'>
<html>
<head>
<meta http-equiv='Content-Type' content='text/html; charset=utf-8'>
<title>Définition</title>
</head>
<body>
	

		
		
			<p class='actantpos_tc'><span style='background-color:#DCDCDC;'><span style='font-family:courier;font-size:13px;'>$1</span> est une <span style='font-family:courier;font-size:13px;'>substance chimique</span></span></p>


		

		
		
			<p class='cc'>
				

				<span style='font-family:courier;font-size:13px;'>$1</span> est une <a href='openSens/ls:fr:node:38988' style='text-decoration:none;'><span class='st'>substance</span><span class='vocable_subscript'></span><span class='vocable_superscript'></span></a> 
				 
				
			</p>

			<p class='assert_pc'>
			qui <a href='openSens/ls:fr:node:55483' style='text-decoration:none;'><span class='st'>réagit</span><span class='vocable_subscript'></span><span class='vocable_superscript'></span></a> 
			avec une <a href='openSens/ls:fr:node:38988' style='text-decoration:none;'><span class='st'>substance</span><span class='vocable_subscript'></span><span class='vocable_superscript'></span></a> Ω1 
			pour produire une <a href='openSens/ls:fr:node:38988' style='text-decoration:none;'><span class='st'>substance</span><span class='vocable_subscript'></span><span class='vocable_superscript'></span></a> Ω2
			</p>

			<p class='assert_pc'>
			qui est consommée (partiellement) à la fin de cette <a href='openSens/ls:fr:node:55488' style='text-decoration:none;'><span class='st'>réaction</span><span class='vocable_subscript'></span><span class='vocable_superscript'></span></a>
			</p>
			
		
	
</body>
</html>
"
"ls:fr:node:55491"	"<!-- $1 réactif avec $2 -->

<definiens>
	<df-semanteme>

		<actantpos>
		
			<tc id='tc1' anchor='scc' role='actant_type'><ap id='a1'>$1</ap> est une <at label='ls:fr:atlab:654' anchor='a1'>substance chimique</at></tc>

			<tc id='tc2' anchor='scc' role='actant_type'><ap id='a2'>$2</ap> est une <at label='ls:fr:atlab:654' anchor='a2'>substance chimique</at></tc>


		</actantpos>

		<assert>
		
			<cc id='cc'>
				<scc id='scc'>

				<st id='s2' sense='ls:fr:node:38988' sem='2' coref='a1'>substance</st> <ap coref='a1'>$1</ap> telle qu’elle <st id='s1' sense='ls:fr:node:55483' sem='2' actants='a1 a2 aa'>réagit</st> 
				avec la <st id='s3' sense='ls:fr:node:38988' sem='2' coref='a2'>substance</st> <ap coref='a2'>$2</ap> 
				pour produire une <st id='s4' sense='ls:fr:node:38988' sem='2' coref='aa'>substance</st> <aap id='aa'>Ω</aap>
				 
				</scc>
			</cc>
			
		</assert>
	</df-semanteme>
</definiens>
"	"<!DOCTYPE html PUBLIC '-//W3C//DTD HTML 4.01 Transitional//EN' 'http://www.w3.org/TR/html4/loose.dtd'>
<html>
<head>
<meta http-equiv='Content-Type' content='text/html; charset=utf-8'>
<title>Définition</title>
</head>
<body>
	

		
		
			<p class='actantpos_tc'><span style='background-color:#DCDCDC;'><span style='font-family:courier;font-size:13px;'>$1</span> est une <span style='font-family:courier;font-size:13px;'>substance chimique</span></span></p>

			<p class='actantpos_tc'><span style='background-color:#DCDCDC;'><span style='font-family:courier;font-size:13px;'>$2</span> est une <span style='font-family:courier;font-size:13px;'>substance chimique</span></span></p>


		

		
		
			<p class='cc'>
				

				<a href='openSens/ls:fr:node:38988' style='text-decoration:none;'><span class='st'>substance</span><span class='vocable_subscript'></span><span class='vocable_superscript'></span></a> <span style='font-family:courier;font-size:13px;'>$1</span> telle qu’elle <a href='openSens/ls:fr:node:55483' style='text-decoration:none;'><span class='st'>réagit</span><span class='vocable_subscript'></span><span class='vocable_superscript'></span></a> 
				avec la <a href='openSens/ls:fr:node:38988' style='text-decoration:none;'><span class='st'>substance</span><span class='vocable_subscript'></span><span class='vocable_superscript'></span></a> <span style='font-family:courier;font-size:13px;'>$2</span> 
				pour produire une <a href='openSens/ls:fr:node:38988' style='text-decoration:none;'><span class='st'>substance</span><span class='vocable_subscript'></span><span class='vocable_superscript'></span></a> Ω
				 
				
			</p>
			
		
	
</body>
</html>
"
"ls:fr:node:55493"	"<!-- réactif utilisé par $1 -->

<definiens>
	<df-semanteme>

		<assert>
		
			<cc id='cc'>
				<scc id='scc'>

				<st id='s2' sense='ls:fr:node:38988' sem='2'>substance</st> utilisé par par l’individu <ap id='a1'>$1</ap>
				 
				</scc>
			</cc>

			<pc id='pc1' anchor='scc' role='use'>
			pour la faire <st id='s1' sense='ls:fr:node:55483' sem='2' actants='s2 aap1 aap2'>réagir</st> 
			avec une <st id='s3' sense='ls:fr:node:38988' sem='2' coref='aap1'>substance</st> <aap id='aap1'>Ω1</aap> 
			</pc>

			<pc id='pc2' anchor='pc1' role='goal'>
			afin de l’analyser ou de produire une <st id='s4' sense='ls:fr:node:38988' sem='2' coref='aap2'>substance</st> <aap id='aap2'>Ω2</aap>
			</pc>
			
		</assert>
	</df-semanteme>
</definiens>
"	"<!DOCTYPE html PUBLIC '-//W3C//DTD HTML 4.01 Transitional//EN' 'http://www.w3.org/TR/html4/loose.dtd'>
<html>
<head>
<meta http-equiv='Content-Type' content='text/html; charset=utf-8'>
<title>Définition</title>
</head>
<body>
	

		
		
			<p class='cc'>
				

				<a href='openSens/ls:fr:node:38988' style='text-decoration:none;'><span class='st'>substance</span><span class='vocable_subscript'></span><span class='vocable_superscript'></span></a> utilisé par par l’individu <span style='font-family:courier;font-size:13px;'>$1</span>
				 
				
			</p>

			<p class='assert_pc'>
			pour la faire <a href='openSens/ls:fr:node:55483' style='text-decoration:none;'><span class='st'>réagir</span><span class='vocable_subscript'></span><span class='vocable_superscript'></span></a> 
			avec une <a href='openSens/ls:fr:node:38988' style='text-decoration:none;'><span class='st'>substance</span><span class='vocable_subscript'></span><span class='vocable_superscript'></span></a> Ω1 
			</p>

			<p class='assert_pc'>
			afin de l’analyser ou de produire une <a href='openSens/ls:fr:node:38988' style='text-decoration:none;'><span class='st'>substance</span><span class='vocable_subscript'></span><span class='vocable_superscript'></span></a> Ω2
			</p>
			
		
	
</body>
</html>
"
"ls:fr:node:55510"	"<!-- produit de $1 -->

<definiens>
	<df-semanteme>	

		<assert>
		
               <cc id='cc'>
				<scc id='scc'>

				<st id='s1' sense='ls:fr:node:38988' sem='2'>substance</st>
				
				</scc>
			</cc>

			<pc id='pc1' anchor='scc' role='cause'>
			qui est formée suite à la <st id='s2' sense='ls:fr:node:55488' sem='2' actants='s1'>réaction</st> <ap id='a1'>$1</ap> 
			entre les <st id='s3' sense='ls:fr:node:38988' sem='2' actants='aap1'>substances</st> <aap id='aap1'>Ω</aap>
			</pc>

		</assert>
	</df-semanteme>
</definiens>"	"<!DOCTYPE html PUBLIC '-//W3C//DTD HTML 4.01 Transitional//EN' 'http://www.w3.org/TR/html4/loose.dtd'>
<html>
<head>
<meta http-equiv='Content-Type' content='text/html; charset=utf-8'>
<title>Définition</title>
</head>
<body>
		

		
		
               <p class='cc'>
				

				<a href='openSens/ls:fr:node:38988' style='text-decoration:none;'><span class='st'>substance</span><span class='vocable_subscript'></span><span class='vocable_superscript'></span></a>
				
				
			</p>

			<p class='assert_pc'>
			qui est formée suite à la <a href='openSens/ls:fr:node:55488' style='text-decoration:none;'><span class='st'>réaction</span><span class='vocable_subscript'></span><span class='vocable_superscript'></span></a> <span style='font-family:courier;font-size:13px;'>$1</span> 
			entre les <a href='openSens/ls:fr:node:38988' style='text-decoration:none;'><span class='st'>substances</span><span class='vocable_subscript'></span><span class='vocable_superscript'></span></a> Ω
			</p>

		
	
</body>
</html>
"
"ls:fr:node:55511"	"<!-- réacteur qui sert à $1 pour $2 -->

<definiens>
	<df-semanteme>

		<actantpos>
		
			<tc id='tc1' anchor='scc' role='actant_type'><ap id='a1'>$1</ap> est un <at label='ls:fr:atlab:383' anchor='a1'>individu</at></tc>

			<tc id='tc2' anchor='scc' role='actant_type'><ap id='a2-1'>$2</ap> est une <at label='ls:fr:atlab:654' anchor='a2-1'>substance chimique</at></tc>

		

		</actantpos>

		<assert>
		
			<cc id='cc'>
				<scc id='scc' dom='s1'>

				<st id='s1' sense='ls:fr:node:26324' sem='2' actants='a1 s3'>appareil</st> utilisé par l’individu <ap coref='a1'>$1</ap>
				
				</scc>
			</cc>

			<pc id='pc1' anchor='scc' role='use' dom='a1'>
			
			pour <st id='s3' sense='ls:fr:node:39318' sem='0' actants='a1 s2'>faire</st>
			<st id='s2' sense='ls:fr:node:55483' sem='2' actants='a2-1 aap1'>réagir</st> les <st id='s5' sense='ls:fr:node:38988' sem='0' coref='a2-1 a1'>substances</st> <ap coref='a2-1'>$2</ap> 
		     afin de produire une <st id='s6' sense='ls:fr:node:38988' sem='2' coref='aap1'>substance</st> <aap id='aap1'>Ω</aap>
			
			</pc>

			<pc id='pc2' anchor='s2' role='mode' dom='s2'>
			
			dans lequel <ap coref='a1'>$1</ap> <st id='s4' sense='ls:fr:node:28803' sem='1' actants='a1 a2-1 s1'>place</st> <ap coref='a2-1'>$2</ap> 
			</pc>

			
		</assert>
	</df-semanteme>
</definiens>

"	"<!DOCTYPE html PUBLIC '-//W3C//DTD HTML 4.01 Transitional//EN' 'http://www.w3.org/TR/html4/loose.dtd'>
<html>
<head>
<meta http-equiv='Content-Type' content='text/html; charset=utf-8'>
<title>Définition</title>
</head>
<body>
	

		
		
			<p class='actantpos_tc'><span style='background-color:#DCDCDC;'><span style='font-family:courier;font-size:13px;'>$1</span> est un <span style='font-family:courier;font-size:13px;'>individu</span></span></p>

			<p class='actantpos_tc'><span style='background-color:#DCDCDC;'><span style='font-family:courier;font-size:13px;'>$2</span> est une <span style='font-family:courier;font-size:13px;'>substance chimique</span></span></p>

		

		

		
		
			<p class='cc'>
				

				<a href='openSens/ls:fr:node:26324' style='text-decoration:none;'><span class='st'>appareil</span><span class='vocable_subscript'></span><span class='vocable_superscript'></span></a> utilisé par l’individu <span style='font-family:courier;font-size:13px;'>$1</span>
				
				
			</p>

			<p class='assert_pc'>
			
			pour <a href='openSens/ls:fr:node:39318' style='text-decoration:none;'><span class='st'>faire</span><span class='vocable_subscript'></span><span class='vocable_superscript'></span></a>
			<a href='openSens/ls:fr:node:55483' style='text-decoration:none;'><span class='st'>réagir</span><span class='vocable_subscript'></span><span class='vocable_superscript'></span></a> les <a href='openSens/ls:fr:node:38988' style='text-decoration:none;'><span class='st'>substances</span><span class='vocable_subscript'></span><span class='vocable_superscript'></span></a> <span style='font-family:courier;font-size:13px;'>$2</span> 
		     afin de produire une <a href='openSens/ls:fr:node:38988' style='text-decoration:none;'><span class='st'>substance</span><span class='vocable_subscript'></span><span class='vocable_superscript'></span></a> Ω
			
			</p>

			<p class='assert_pc'>
			
			dans lequel <span style='font-family:courier;font-size:13px;'>$1</span> <a href='openSens/ls:fr:node:28803' style='text-decoration:none;'><span class='st'>place</span><span class='vocable_subscript'></span><span class='vocable_superscript'></span></a> <span style='font-family:courier;font-size:13px;'>$2</span> 
			</p>

			
		
	
</body>
</html>
"
"ls:fr:node:55515"	"<!-- réactivité de $1 -->

<definiens>
	<df-semanteme>

		<actantpos>
		
			<tc id='tc1' anchor='scc' role='actant_type'><ap id='a1'>$1</ap> est une <at label='ls:fr:atlab:654' anchor='a1'>substance chimique</at></tc>


		</actantpos>

		<assert>
		
			<cc id='cc'>
				<scc id='scc'>

				fait que la <st id='s1' sense='ls:fr:node:38988' sem='2' coref='a1'>substance</st> <ap coref='a1'>$1</ap> 
				est <st id='s2' sense='ls:fr:node:55491' sem='2' coref='a1 aa'>réactive</st> avec <aap id='aa'>Ω</aap>
				
				</scc>
			</cc>
			
		</assert>
	</df-semanteme>
</definiens>
"	"<!DOCTYPE html PUBLIC '-//W3C//DTD HTML 4.01 Transitional//EN' 'http://www.w3.org/TR/html4/loose.dtd'>
<html>
<head>
<meta http-equiv='Content-Type' content='text/html; charset=utf-8'>
<title>Définition</title>
</head>
<body>
	

		
		
			<p class='actantpos_tc'><span style='background-color:#DCDCDC;'><span style='font-family:courier;font-size:13px;'>$1</span> est une <span style='font-family:courier;font-size:13px;'>substance chimique</span></span></p>


		

		
		
			<p class='cc'>
				

				fait que la <a href='openSens/ls:fr:node:38988' style='text-decoration:none;'><span class='st'>substance</span><span class='vocable_subscript'></span><span class='vocable_superscript'></span></a> <span style='font-family:courier;font-size:13px;'>$1</span> 
				est <a href='openSens/ls:fr:node:55491' style='text-decoration:none;'><span class='st'>réactive</span><span class='vocable_subscript'></span><span class='vocable_superscript'></span></a> avec Ω
				
				
			</p>
			
		
	
</body>
</html>
"
"ls:fr:node:55521"	"<!-- $1 est un réactant -->

<definiens>
	<df-semanteme>

		<actantpos>
		
			<tc id='tc1' anchor='scc' role='actant_type'><ap id='a1'>$1</ap> est une <at label='ls:fr:atlab:654' anchor='a1'>substance chimique</at></tc>


		</actantpos>

		<assert>
		
			<cc id='cc'>
				<scc id='scc'>

				<ap coref='a1'>$1</ap> est une <st id='s2' sense='ls:fr:node:38988' sem='2'>substance</st> 
				 
				</scc>
			</cc>

			<pc id='pc1' anchor='scc' role='behavior'>
			qui <st id='s1' sense='ls:fr:node:55483' sem='2' actants='a1 aap1 aap2'>réagit</st> 
			avec une <st id='s3' sense='ls:fr:node:38988' sem='2' coref='aap1'>substance</st> <aap id='aap1'>Ω1</aap> 
			pour produire une <st id='s4' sense='ls:fr:node:38988' sem='2' coref='aap2'>substance</st> <aap id='aap2'>Ω2</aap>
			</pc>

			<pc id='pc2' anchor='pc1' role='result'>
			qui est consommée (partiellement) à la fin de cette <st id='s5' sense='ls:fr:node:55488' sem='2' coref='s1'>réaction</st>
			</pc>
			
		</assert>
	</df-semanteme>
</definiens>
"	"<!DOCTYPE html PUBLIC '-//W3C//DTD HTML 4.01 Transitional//EN' 'http://www.w3.org/TR/html4/loose.dtd'>
<html>
<head>
<meta http-equiv='Content-Type' content='text/html; charset=utf-8'>
<title>Définition</title>
</head>
<body>
	

		
		
			<p class='actantpos_tc'><span style='background-color:#DCDCDC;'><span style='font-family:courier;font-size:13px;'>$1</span> est une <span style='font-family:courier;font-size:13px;'>substance chimique</span></span></p>


		

		
		
			<p class='cc'>
				

				<span style='font-family:courier;font-size:13px;'>$1</span> est une <a href='openSens/ls:fr:node:38988' style='text-decoration:none;'><span class='st'>substance</span><span class='vocable_subscript'></span><span class='vocable_superscript'></span></a> 
				 
				
			</p>

			<p class='assert_pc'>
			qui <a href='openSens/ls:fr:node:55483' style='text-decoration:none;'><span class='st'>réagit</span><span class='vocable_subscript'></span><span class='vocable_superscript'></span></a> 
			avec une <a href='openSens/ls:fr:node:38988' style='text-decoration:none;'><span class='st'>substance</span><span class='vocable_subscript'></span><span class='vocable_superscript'></span></a> Ω1 
			pour produire une <a href='openSens/ls:fr:node:38988' style='text-decoration:none;'><span class='st'>substance</span><span class='vocable_subscript'></span><span class='vocable_superscript'></span></a> Ω2
			</p>

			<p class='assert_pc'>
			qui est consommée (partiellement) à la fin de cette <a href='openSens/ls:fr:node:55488' style='text-decoration:none;'><span class='st'>réaction</span><span class='vocable_subscript'></span><span class='vocable_superscript'></span></a>
			</p>
			
		
	
</body>
</html>
"
"ls:fr:node:55548"	"<!-- molécule de $2 composée de $1 -->

<definiens>
	<df-semanteme>	

		<assert>
		
               <cc id='cc'>
				<scc id='scc' dom='s1'>

				<st id='s1' sense='ls:fr:node:56569' sem='2'>entité chimique</st>
				
				
				</scc>
			</cc>

		<pc id='pc1' anchor='scc' role='mero.constituent'> 
		qui est constituée des <st id='s2' sense='ls:fr:node:53986' sem='2' coref='a1'>atomes</st> {<ap id='a1'>$1</ap>}
		</pc>

		<pc id='pc2' anchor='scc' role='mero.whole'> 
		qui est la plus petite unité de <st id='s3' sense='ls:fr:node:38988' sem='2' coref='a2'>substance</st> <ap id='a2'>$2</ap>
		</pc>

	
		</assert>
	</df-semanteme>
</definiens>
"	"<!DOCTYPE html PUBLIC '-//W3C//DTD HTML 4.01 Transitional//EN' 'http://www.w3.org/TR/html4/loose.dtd'>
<html>
<head>
<meta http-equiv='Content-Type' content='text/html; charset=utf-8'>
<title>Définition</title>
</head>
<body>
		

		
		
               <p class='cc'>
				

				<a href='openSens/ls:fr:node:56569' style='text-decoration:none;'><span class='st'>entité chimique</span><span class='vocable_subscript'></span><span class='vocable_superscript'></span></a>
				
				
				
			</p>

		<p class='assert_pc'> 
		qui est constituée des <a href='openSens/ls:fr:node:53986' style='text-decoration:none;'><span class='st'>atomes</span><span class='vocable_subscript'></span><span class='vocable_superscript'></span></a> {<span style='font-family:courier;font-size:13px;'>$1</span>}
		</p>

		<p class='assert_pc'> 
		qui est la plus petite unité de <a href='openSens/ls:fr:node:38988' style='text-decoration:none;'><span class='st'>substance</span><span class='vocable_subscript'></span><span class='vocable_superscript'></span></a> <span style='font-family:courier;font-size:13px;'>$2</span>
		</p>

	
		
	
</body>
</html>
"
"ls:fr:node:55549"	"<!-- $1 moléculaire -->

<definiens>
	<df-semanteme>	

		<assert>
		
               <cc id='cc'>
				<scc id='scc' dom='s1'>

				<ap id='a1'>$1</ap> relatif aux <st id='s1' sense='ls:fr:node:55548' sem='2'>molécules</st>
				
				</scc>
			</cc>

		</assert>
	</df-semanteme>
</definiens>
"	"<!DOCTYPE html PUBLIC '-//W3C//DTD HTML 4.01 Transitional//EN' 'http://www.w3.org/TR/html4/loose.dtd'>
<html>
<head>
<meta http-equiv='Content-Type' content='text/html; charset=utf-8'>
<title>Définition</title>
</head>
<body>
		

		
		
               <p class='cc'>
				

				<span style='font-family:courier;font-size:13px;'>$1</span> relatif aux <a href='openSens/ls:fr:node:55548' style='text-decoration:none;'><span class='st'>molécules</span><span class='vocable_subscript'></span><span class='vocable_superscript'></span></a>
				
				
			</p>

		
	
</body>
</html>
"
